@relation data_deci

@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute classification {NO_RAIN,RAIN}

@data
-789.3261,3663.3615,-886.0083,RAIN
-787.2796,3659.1621,-884.0842,RAIN
-785.4002,3658.1457,-886.0159,NO_RAIN
-784.5813,3657.9923,-885.8446,NO_RAIN
-784.9459,3659.1373,-885.5034,NO_RAIN
-778.0448,3660.1142,-886.7869,NO_RAIN
-755.3106,3658.2759,-886.8913,NO_RAIN
-719.208,3656.0229,-885.6728,NO_RAIN
-702.3028,3653.1159,-887.523,NO_RAIN
-700.4649,3649.0587,-888.3594,NO_RAIN
-681.8246,3638.6511,-888.0631,NO_RAIN
-685.6479,3634.3067,-887.1005,NO_RAIN
-657.9721,3643.1281,-884.6333,NO_RAIN
-649.8452,3645.2861,-883.4656,NO_RAIN
-682.8127,3616.3683,-882.6566,RAIN
-710.5273,3630.1274,-787.2695,NO_RAIN
-724.8822,3634.9969,-885.7101,NO_RAIN
-729.7136,3634.36,-884.7816,NO_RAIN
-729.7308,3638.2402,-886.752,NO_RAIN
-729.4805,3630.5844,-888.3906,NO_RAIN
-731.861,3632.8538,-888.5714,NO_RAIN
-733.1738,3631.7257,-888.481,NO_RAIN
-734.7508,3630.6722,-888.832,NO_RAIN
-738.1122,3626.6174,-887.6843,NO_RAIN
-736.7999,3624.3564,-887.7912,NO_RAIN
-735.4536,3626.5826,-886.9484,NO_RAIN
-738.2281,3628.4179,-886.9332,NO_RAIN
-740.5675,3630.6116,-887.0273,NO_RAIN
-738.8257,3629.6665,-887.3878,NO_RAIN
-714.5736,3632.267,-887.6446,NO_RAIN
-711.0479,3637.8079,-885.8553,NO_RAIN
-666.9486,3648.3876,-884.5183,NO_RAIN
-689.9994,3653.7996,-885.8075,NO_RAIN
-663.2504,3649.1691,-884.3434,NO_RAIN
-656.9528,3652.5156,-884.84,NO_RAIN
-644.5085,3632.7203,-883.0291,RAIN
-716.0011,3628.0204,-864.103,RAIN
-643.3362,3632.5611,-882.2674,NO_RAIN
-710.2379,3618.2893,-882.6087,RAIN
-726.5544,3624.0034,-884.3233,NO_RAIN
-730.9756,3625.9054,-884.4032,NO_RAIN
-736.3141,3622.1686,-865.3222,RAIN
-740.4145,3610.7568,-830.0063,RAIN
-741.3949,3623.3536,-887.6683,NO_RAIN
-742.2875,3630.1576,-888.082,NO_RAIN
-741.2087,3622.4763,-888.4148,NO_RAIN
-739.8287,3620.7382,-889.1998,NO_RAIN
-747.7259,3636.47,-887.5533,NO_RAIN
-751.1542,3639.6916,-886.6696,NO_RAIN
-752.5256,3639.4845,-885.4307,NO_RAIN
-753.6604,3642.6261,-885.724,NO_RAIN
-755.7901,3642.9323,-885.3598,NO_RAIN
-754.7781,3639.5892,-885.7961,NO_RAIN
-745.0144,3642.4814,-886.2449,NO_RAIN
-726.3151,3642.8625,-886.9451,NO_RAIN
-683.5146,3643.8649,-885.4505,NO_RAIN
-678.9703,3651.8593,-884.2652,NO_RAIN
-654.9134,3656.0693,-884.0941,NO_RAIN
-660.9459,3647.5547,-883.321,NO_RAIN
-701.082,3663.4449,-881.9352,NO_RAIN
-615.1667,3651.4414,-882.0831,NO_RAIN
-656.1376,3674.5064,-877.0477,NO_RAIN
-658.7392,3667.7047,-878.4664,NO_RAIN
-694.245,3664.8804,-878.2754,NO_RAIN
-707.9342,3652.482,-882.4223,NO_RAIN
-727.8943,3648.3219,-881.1267,RAIN
-729.3675,3657.9784,-882.2839,NO_RAIN
-741.7821,3652.1182,-883.4676,NO_RAIN
-745.0594,3667.4448,-883.2456,NO_RAIN
-748.9698,3673.5364,-883.5033,NO_RAIN
-749.2644,3664.3425,-885.0887,NO_RAIN
-760.1811,3659.8813,-884.4675,NO_RAIN
-763.0695,3654.7904,-884.6127,NO_RAIN
-761.5701,3646.6778,-884.7207,NO_RAIN
-758.7361,3645.9031,-885.0976,NO_RAIN
-766.6673,3647.246,-885.212,NO_RAIN
-767.2377,3649.012,-885.445,NO_RAIN
-740.8577,3650.6347,-885.8372,NO_RAIN
-668.1422,3659.5691,-882.035,NO_RAIN
-641.5273,3667.8313,-883.6064,NO_RAIN
-611.261,3680.764,-880.9213,NO_RAIN
-608.4501,3696.905,-878.6487,NO_RAIN
-633.5587,3696.3766,-878.3341,NO_RAIN
-629.8914,3687.5446,-876.8304,NO_RAIN
-589.5953,3692.1203,-875.4179,NO_RAIN
-618.0869,3681.3663,-875.3774,NO_RAIN
-586.0909,3677.6389,-875.1381,NO_RAIN
-623.9414,3676.4064,-874.6761,NO_RAIN
-674.3678,3684.2625,-875.792,NO_RAIN
-712.0071,3674.4377,-876.3128,NO_RAIN
-722.3735,3659.1809,-879.6803,NO_RAIN
-724.4785,3637.5162,-883.6811,NO_RAIN
-728.6764,3633.4429,-886.0706,NO_RAIN
-727.2506,3627.3031,-886.2709,NO_RAIN
-732.2809,3625.9418,-886.0387,NO_RAIN
-736.1886,3623.2844,-887.1429,NO_RAIN
-729.7739,3626.0762,-885.8069,NO_RAIN
-725.5003,3623.7507,-886.2299,NO_RAIN
-724.6658,3620.1082,-886.4208,NO_RAIN
-728.1321,3617.7938,-886.5315,NO_RAIN
-723.901,3617.2266,-886.8328,NO_RAIN
-692.1888,3625.4326,-885.8203,NO_RAIN
-664.1856,3636.9824,-885.1917,NO_RAIN
-605.6927,3660.1986,-879.608,NO_RAIN
-638.0995,3661.0473,-881.4373,NO_RAIN
-630.2438,3661.0722,-880.5454,NO_RAIN
-561.6029,3659.2367,-878.5422,NO_RAIN
-594.4261,3662.224,-878.4942,NO_RAIN
-584.3523,3660.8985,-877.702,NO_RAIN
-580.6774,3653.9676,-875.3471,NO_RAIN
-614.2434,3651.857,-877.1168,NO_RAIN
-649.1583,3633.5439,-880.0855,NO_RAIN
-656.8915,3630.5811,-879.3761,NO_RAIN
-683.9755,3619.6831,-883.9918,NO_RAIN
-690.1831,3609.1402,-884.235,NO_RAIN
-696.4985,3613.6427,-885.2842,NO_RAIN
-698.6131,3611.7079,-883.8825,NO_RAIN
-699.7186,3602.6977,-887.8671,NO_RAIN
-701.1139,3602.5363,-887.8199,NO_RAIN
-701.0811,3605.6688,-887.0362,NO_RAIN
-704.2691,3600.2968,-886.0038,NO_RAIN
-704.7596,3600.3712,-886.5156,NO_RAIN
-711.2774,3598.5424,-886.6001,NO_RAIN
-716.927,3596.5766,-886.9862,NO_RAIN
-713.4884,3593.2977,-886.7016,NO_RAIN
-690.891,3598.9126,-887.9054,NO_RAIN
-652.0535,3606.5973,-887.5108,NO_RAIN
-574.6234,3623.5804,-885.2542,NO_RAIN
-564.9903,3638.0442,-882.0793,NO_RAIN
-551.3171,3646.6388,-880.7692,NO_RAIN
-551.8411,3651.2557,-878.6123,NO_RAIN
-569.7604,3642.2168,-877.714,NO_RAIN
-523.2317,3635.4259,-879.3649,NO_RAIN
-563.996,3625.6442,-878.9892,NO_RAIN
-563.3873,3620.3557,-878.9002,NO_RAIN
-620.5688,3593.959,-883.1779,NO_RAIN
-757.0387,3669.1528,-869.7024,RAIN
-756.5969,3638.9152,-819.0193,RAIN
-749.5823,3634.4041,-882.1793,RAIN
-753.1574,3638.7247,-882.7118,RAIN
-754.2566,3637.3757,-884.8926,NO_RAIN
-757.3277,3639.3681,-885.1139,NO_RAIN
-757.9251,3638.7574,-885.1342,NO_RAIN
-754.8754,3633.8212,-885.5975,NO_RAIN
-750.6741,3628.7412,-886.2774,NO_RAIN
-740.7561,3623.8224,-885.4035,NO_RAIN
-734.1272,3613.9639,-886.2616,NO_RAIN
-730.4819,3609.2712,-887.0195,NO_RAIN
-729.6759,3610.4705,-887.9457,NO_RAIN
-710.9403,3607.7259,-888.2193,NO_RAIN
-664.8475,3603.1154,-888.2172,NO_RAIN
-533.1837,3620.6323,-886.3607,NO_RAIN
-572.7775,3649.1182,-883.7173,NO_RAIN
-533.2977,3652.3694,-881.1858,NO_RAIN
-499.3597,3650.006,-880.2321,NO_RAIN
-509.8248,3648.919,-878.5533,NO_RAIN
-558.3803,3646.8787,-878.186,NO_RAIN
-547.4148,3628.9354,-878.7076,NO_RAIN
-617.6204,3625.5347,-880.9734,NO_RAIN
-646.9223,3615.5609,-883.5996,NO_RAIN
-661.7186,3612.6123,-884.7447,NO_RAIN
-757.3408,3635.7081,-745.3744,RAIN
-755.173,3640.1494,-847.5949,RAIN
-755.7528,3651.4808,-885.5231,NO_RAIN
-753.7747,3652.0058,-886.339,NO_RAIN
-751.4851,3645.1106,-887.3941,NO_RAIN
-752.9345,3650.526,-886.6148,NO_RAIN
-753.8361,3644.6427,-886.5545,NO_RAIN
-753.7319,3644.2303,-887.0894,NO_RAIN
-757.2688,3649.1402,-884.7598,RAIN
-763.1239,3645.0304,-861.7607,RAIN
-766.34,3646.4958,-861.181,RAIN
-767.3506,3648.8361,-873.229,RAIN
-768.4849,3656.2307,-879.8803,RAIN
-784.1585,3666.3452,-840.3055,RAIN
-763.0932,3666.3491,-831.3485,RAIN
-737.5848,3680.0058,-880.4936,RAIN
-740.5581,3685.955,-883.6033,NO_RAIN
-683.6381,3689.1271,-882.9735,NO_RAIN
-725.148,3695.3917,-879.7768,NO_RAIN
-728.8708,3690.0832,-880.8613,NO_RAIN
-765.0735,3683.0127,-882.8104,NO_RAIN
-774.4201,3682.6518,-879.1777,RAIN
-771.7439,3687.9407,-881.0113,RAIN
-779.5856,3689.0942,-880.1455,NO_RAIN
-792.5106,3689.0191,-881.9736,NO_RAIN
-795.3491,3693.0934,-883.2942,NO_RAIN
-798.4581,3699.6747,-883.3499,NO_RAIN
-799.5923,3702.4067,-884.2128,NO_RAIN
